"14491: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris ekskl. avgifter (øre/kWh)";"Kraftpris inkl. mva (øre/kWh)";"Fordeling av kontraktstyper (prosent)"
"1.3 Variabel pris kontrakter, husholdninger";"2016K4";40.6;49.5;27.0
"1.3 Variabel pris kontrakter, husholdninger";"2017K1";39.6;48.3;30.0
"1.3 Variabel pris kontrakter, husholdninger";"2017K2";36.5;44.5;29.1
"1.3 Variabel pris kontrakter, husholdninger";"2017K3";36.0;43.9;26.6
"1.3 Variabel pris kontrakter, husholdninger";"2017K4";39.0;47.6;26.5
"1.3 Variabel pris kontrakter, husholdninger";"2018K1";44.4;54.1;25.6
"1.3 Variabel pris kontrakter, husholdninger";"2018K2";48.5;59.2;25.7
"1.3 Variabel pris kontrakter, husholdninger";"2018K3";59.9;73.1;25.5
"1.3 Variabel pris kontrakter, husholdninger";"2018K4";61.2;74.7;25.4
"1.3 Variabel pris kontrakter, husholdninger";"2019K1";63.6;77.6;23.3
"1.3 Variabel pris kontrakter, husholdninger";"2019K2";52.3;63.9;23.0
"1.3 Variabel pris kontrakter, husholdninger";"2019K3";48.5;59.2;21.6
"1.3 Variabel pris kontrakter, husholdninger";"2019K4";52.6;64.2;23.9
"1.3 Variabel pris kontrakter, husholdninger";"2020K1";40.3;49.3;20.6
"1.3 Variabel pris kontrakter, husholdninger";"2020K2";22.8;27.8;19.5
"1.3 Variabel pris kontrakter, husholdninger";"2020K3";22.8;27.8;17.8
"1.3 Variabel pris kontrakter, husholdninger";"2020K4";28.5;34.8;20.9
"1.3 Variabel pris kontrakter, husholdninger";"2021K1";54.4;66.5;21.6
"1.3 Variabel pris kontrakter, husholdninger";"2021K2";55.2;67.4;21.7
"1.3 Variabel pris kontrakter, husholdninger";"2021K3";69.7;85.1;22.2
"1.3 Variabel pris kontrakter, husholdninger";"2021K4";106.0;129.5;21.9
"1.3 Variabel pris kontrakter, husholdninger";"2022K1";135.8;165.8;18.9
"1.3 Variabel pris kontrakter, husholdninger";"2022K2";141.0;172.1;17.0
"1.3 Variabel pris kontrakter, husholdninger";"2022K3";209.3;255.6;14.5
"1.3 Variabel pris kontrakter, husholdninger";"2022K4";222.7;271.9;8.0
"1.3 Variabel pris kontrakter, husholdninger";"2023K1";196.4;239.8;4.4
"1.3 Variabel pris kontrakter, husholdninger";"2023K2";120.4;146.8;4.2
"1.3 Variabel pris kontrakter, husholdninger";"2023K3";109.8;133.8;3.8
"1.3 Variabel pris kontrakter, husholdninger";"2023K4";101.8;124.2;3.7
"1.3 Variabel pris kontrakter, husholdninger";"2024K1";131.7;160.9;3.5
"1.3 Variabel pris kontrakter, husholdninger";"2024K2";109.2;133.2;3.4
"1.3 Variabel pris kontrakter, husholdninger";"2024K3";89.7;109.4;2.2
"1.3 Variabel pris kontrakter, husholdninger";"2024K4";89.7;109.5;2.3
"1.3 Variabel pris kontrakter, husholdninger";"2025K1";98.9;120.7;2.1
"1.3 Variabel pris kontrakter, husholdninger";"2025K2";84.4;102.8;2.1
"2 Tjenesteytende næringer, i alt";"2012K1";32.6;.;100.0
"2 Tjenesteytende næringer, i alt";"2012K2";25.4;.;100.0
"2 Tjenesteytende næringer, i alt";"2012K3";19.4;.;100.0
"2 Tjenesteytende næringer, i alt";"2012K4";31.3;.;100.0
"2 Tjenesteytende næringer, i alt";"2013K1";34.1;.;100.0
"2 Tjenesteytende næringer, i alt";"2013K2";34.0;.;100.0
"2 Tjenesteytende næringer, i alt";"2013K3";31.1;.;100.0
"2 Tjenesteytende næringer, i alt";"2013K4";34.5;.;100.0
"2 Tjenesteytende næringer, i alt";"2014K1";29.9;.;100.0
"2 Tjenesteytende næringer, i alt";"2014K2";24.4;.;100.0
"2 Tjenesteytende næringer, i alt";"2014K3";30.0;.;100.0
"2 Tjenesteytende næringer, i alt";"2014K4";30.5;.;100.0
"2 Tjenesteytende næringer, i alt";"2015K1";29.1;.;100.0
"2 Tjenesteytende næringer, i alt";"2015K2";23.5;.;100.0
"2 Tjenesteytende næringer, i alt";"2015K3";18.1;.;100.0
"2 Tjenesteytende næringer, i alt";"2015K4";25.0;.;100.0
"2 Tjenesteytende næringer, i alt";"2016K1";27.3;.;100.0
"2 Tjenesteytende næringer, i alt";"2016K2";25.9;.;100.0
"2 Tjenesteytende næringer, i alt";"2016K3";27.2;.;100.0
"2 Tjenesteytende næringer, i alt";"2016K4";35.5;.;100.0
"2 Tjenesteytende næringer, i alt";"2017K1";30.9;.;100.0
"2 Tjenesteytende næringer, i alt";"2017K2";29.4;.;100.0
"2 Tjenesteytende næringer, i alt";"2017K3";29.8;.;100.0
"2 Tjenesteytende næringer, i alt";"2017K4";32.8;.;100.0
"2 Tjenesteytende næringer, i alt";"2018K1";39.0;.;100.0
"2 Tjenesteytende næringer, i alt";"2018K2";40.8;.;100.0
"2 Tjenesteytende næringer, i alt";"2018K3";51.0;.;100.0
"2 Tjenesteytende næringer, i alt";"2018K4";50.7;.;100.0
"2 Tjenesteytende næringer, i alt";"2019K1";51.1;.;100.0
"2 Tjenesteytende næringer, i alt";"2019K2";42.0;.;100.0
"2 Tjenesteytende næringer, i alt";"2019K3";37.9;.;100.0
"2 Tjenesteytende næringer, i alt";"2019K4";43.1;.;100.0
"2 Tjenesteytende næringer, i alt";"2020K1";24.6;.;100.0
"2 Tjenesteytende næringer, i alt";"2020K2";11.9;.;100.0
"2 Tjenesteytende næringer, i alt";"2020K3";10.3;.;100.0
"2 Tjenesteytende næringer, i alt";"2020K4";18.3;.;100.0
"2 Tjenesteytende næringer, i alt";"2021K1";49.1;.;100.0
"2 Tjenesteytende næringer, i alt";"2021K2";45.8;.;100.0
"2 Tjenesteytende næringer, i alt";"2021K3";72.3;.;100.0
"2 Tjenesteytende næringer, i alt";"2021K4";105.9;.;100.0
"2 Tjenesteytende næringer, i alt";"2022K1";113.0;.;100.0
"2 Tjenesteytende næringer, i alt";"2022K2";125.5;.;100.0
"2 Tjenesteytende næringer, i alt";"2022K3";226.0;.;100.0
"2 Tjenesteytende næringer, i alt";"2022K4";162.6;.;100.0
"2 Tjenesteytende næringer, i alt";"2023K1";110.2;.;100.0
"2 Tjenesteytende næringer, i alt";"2023K2";80.8;.;100.0
"2 Tjenesteytende næringer, i alt";"2023K3";37.3;.;100.0
"2 Tjenesteytende næringer, i alt";"2023K4";80.7;.;100.0
"2 Tjenesteytende næringer, i alt";"2024K1";76.2;.;100.0
"2 Tjenesteytende næringer, i alt";"2024K2";51.9;.;100.0
"2 Tjenesteytende næringer, i alt";"2024K3";33.1;.;100.0
"2 Tjenesteytende næringer, i alt";"2024K4";54.5;.;100.0
"2 Tjenesteytende næringer, i alt";"2025K1";67.5;.;100.0
"2 Tjenesteytende næringer, i alt";"2025K2";52.2;.;100.0
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2012K1";38.2;.;6.3
